,R,L
459,2,1
460,0,-1
461,-4,-5
462,-7,-4
463,-9,-2
464,-6,-1
465,-4,-3
466,-2,-2
467,-1,-3
468,-1,0
469,1,5
470,-1,3
471,0,1
472,2,1
473,1,-1
474,0,-2
475,0,-3
476,-2,-2
477,-2,1
478,1,-1
479,-1,-1
480,-2,0
481,-4,-4
482,-4,-4
483,-7,-5
484,-6,-6
485,-3,-4
486,-5,-5
487,-4,-8
488,-7,-5
489,-4,-4
490,-2,1
491,-2,-1
492,0,-1
493,-1,-2
494,-2,-5
495,-2,-4
496,0,0
497,0,3
498,2,2
499,-1,3
500,5,3
501,4,1
502,5,4
503,4,7
504,5,10
505,6,8
506,3,2
507,1,2
508,2,1
509,2,-4
510,-4,-5
511,-5,-6
512,-7,-4
513,-3,-2
514,-3,-3
515,0,-1
516,2,0
517,1,-3
518,-1,-1
519,-4,0
520,-4,-3
521,-5,-6
522,-3,-4
523,-1,-2
524,-1,-2
525,-2,1
526,-4,-2
527,-6,-4
528,-6,-5
529,-6,-6
530,-5,-5
531,-2,-2
532,-2,-4
533,-1,-3
534,-5,-2
535,-2,-1
536,0,-2
537,-1,-4
538,-2,-4
539,-5,-7
540,-6,-6
541,-3,-4
542,0,-2
543,0,-3
544,0,1
545,-2,2
546,-1,0
547,1,1
548,5,-2
549,0,-1
550,0,2
551,2,1
552,5,3
553,6,-1
554,2,-2
555,-4,-1
556,-7,-2
557,0,0
558,1,3
559,1,2
560,1,6
561,1,5
562,4,7
563,1,2
564,0,-2
565,-2,-3
566,-6,-7
567,-4,-6
568,-1,-5
569,0,-4
570,-1,-5
571,-2,-4
572,-2,-4
573,-3,-1
574,-1,2
575,-1,3
576,-2,1
577,-4,1
578,1,-1
579,0,-1
580,-2,0
581,2,-2
582,-1,-2
583,0,-4
584,-1,-4
585,1,-3
586,0,2
587,0,2
588,3,4
589,5,9
590,5,9
591,6,10
592,6,13
593,8,10
594,8,8
595,9,5
596,4,3
597,4,-2
598,2,-3
599,-1,-3
600,-2,-6
601,-6,-7
602,-8,-7
603,-6,-4
604,-6,-2
605,-2,-2
606,-2,4
607,0,4
608,1,7
609,2,5
610,3,5
611,2,8
612,5,5
613,-1,0
614,0,-3
615,-3,-6
616,-7,-6
617,-3,-4
618,-4,-3
619,-1,-1
620,0,-1
621,-1,0
622,-2,-2
623,-2,-2
624,-5,-3
625,-3,0
626,-3,1
627,-4,-4
628,-2,-4
629,-3,-8
630,-4,-8
631,-6,-7
632,-4,-4
633,-4,-3
634,-1,-2
635,-1,-3
636,2,0
637,3,3
638,3,2
639,2,1
640,3,0
641,3,1
642,1,-1
643,-1,-5
644,-3,-8
645,-3,-7
646,-2,-3
647,-1,1
648,2,7
649,7,10
650,9,10
651,9,9
652,7,7
653,5,5
654,0,0
655,-2,0
656,-1,-4
657,-5,-5
658,-7,-7
659,-5,-6
660,-9,-9
661,-7,-9
662,-9,-10
663,-9,-8
664,-10,-11
665,-12,-10
666,-11,-9
667,-4,-5
668,-3,-4
669,-3,0
670,-3,0
671,-4,-2
672,-3,1
673,1,3
674,2,2
675,-1,0
676,-1,0
677,-1,-2
678,-3,-2
679,-2,-2
680,1,4
681,5,5
682,9,11
683,9,11
684,8,9
685,6,7
686,5,6
687,5,3
688,6,4
689,7,6
690,5,6
691,7,7
692,7,3
693,3,2
694,4,5
695,4,6
696,7,10
697,9,7
698,7,5
699,3,4
700,1,4
701,-2,1
702,-1,3
703,-2,1
704,-1,2
705,1,0
706,-3,-1
707,3,2
708,3,0
709,0,-2
710,-3,-5
711,-5,-6
712,-5,-1
713,-2,-1
714,-1,-1
715,-2,-3
716,0,-3
717,-4,-4
718,-2,-5
719,-3,-3
720,-2,-7
721,-1,-8
722,-2,-6
723,-4,-9
724,-5,-8
725,-5,-7
726,-6,-7
727,-9,-5
728,-6,-2
729,-2,3
730,2,5
731,3,7
732,8,3
733,5,2
734,3,2
735,6,1
736,7,4
737,6,5
738,5,3
739,5,2
740,6,1
741,3,0
742,4,2
743,4,3
744,3,5
745,2,5
746,4,4
747,2,0
748,-3,-3
749,-4,-4
750,-2,-4
751,-4,-4
752,1,0
753,1,0
754,-2,2
755,1,2
756,1,3
757,1,2
758,3,3
759,1,4
760,0,2
761,-3,-1
762,-4,-5
763,-7,-8
764,-5,-9
765,-7,-11
766,-7,-10
767,-8,-9
768,-8,-7
769,-7,-8
770,-8,-7
771,-8,-4
772,-4,0
773,-2,2
774,3,2
775,1,1
776,-4,0
777,-2,2
778,-1,1
779,3,0
780,3,-3
781,3,-3
782,1,-3
783,-5,-6
784,-3,-6
785,-4,-4
786,1,0
787,1,3
788,5,1
789,4,3
790,3,4
791,2,4
792,3,7
793,6,7
794,6,11
795,9,7
796,5,3
797,2,2
798,1,-1
799,-2,0
800,-4,1
801,1,2
802,-1,1
803,0,2
804,1,4
805,3,3
806,1,1
807,1,-1
808,0,-7
809,-6,-11
810,-6,-10
811,-9,-10
812,-6,-9
813,-5,-7
814,-3,-4
815,-4,-2
816,-3,0
817,-2,4
818,-4,0
819,0,0
820,-4,1
821,-2,-3
822,-1,-1
823,-3,-1
824,2,0
825,1,-1
826,0,-4
827,-2,-7
828,-5,-7
829,-6,-8
830,-6,-8
831,-9,-8
832,-6,-5
833,-8,-3
834,-6,0
835,-2,3
836,0,4
837,0,7
838,1,4
839,4,5
840,0,0
841,-1,1
842,-2,-2
843,-2,-1
844,1,1
845,3,1
846,2,3
847,3,3
848,1,1
849,0,-1
850,-2,-2
851,0,2
852,0,3
853,0,3
854,1,0
855,1,-2
856,0,-4
857,1,-5
858,-1,-2
859,1,-1
860,2,1
861,1,-1
862,1,-1
863,-2,-5
864,-4,-4
865,-6,-3
866,-4,1
867,1,3
868,3,2
869,2,0
870,2,-2
871,0,-3
872,1,-3
873,0,-1
874,-2,-2
875,-3,0
876,-3,-1
877,-1,-3
878,0,-4
879,3,-4
880,0,-2
881,1,2
882,4,4
883,6,2
884,6,1
885,4,-2
886,0,-3
887,-2,-5
888,-2,-5
889,-7,-7
890,-6,-8
891,-8,-7
892,-4,-2
893,-3,-1
894,-3,0
895,-3,4
896,-2,6
897,3,10
898,6,6
899,6,4
900,4,2
901,3,2
902,1,1
903,0,-2
904,-3,-6
905,-5,-4
906,-4,-4
907,-2,-1
908,-1,0
909,-1,0
910,-1,2
911,0,0
912,-3,0
913,-1,-1
914,-1,-1
915,-5,-2
916,-3,1
917,-5,2
918,-1,-1
919,-1,-2
920,-3,-6
921,-8,-7
922,-7,-2
923,-4,5
924,0,6
925,5,4
926,4,5
927,4,4
928,2,4
929,1,1
930,2,0
931,0,-2
932,1,-4
933,1,-4
934,1,-5
935,0,-3
936,-4,-6
937,-2,0
938,-2,0
939,0,0
940,2,2
941,2,3
942,3,4
943,2,8
944,4,6
945,3,3
946,1,0
947,0,-7
948,0,-8
949,-4,-13
950,-3,-14
951,-6,-14
952,-10,-13
953,-10,-11
954,-8,-9
955,-7,-9
956,-5,-3
957,-1,3
958,2,6
959,4,6
960,4,6
961,2,5
962,1,2
963,3,4
964,2,3
965,5,4
966,5,7
967,9,8
968,9,7
969,6,6
970,7,6
971,7,6
972,5,6
973,5,5
974,1,0
