,R,L
0,-2,-1
1,-3,-2
2,-4,-1
3,-4,-3
4,-2,-1
5,1,0
6,-1,3
7,-2,0
8,1,0
9,1,0
10,-3,0
11,-2,-1
12,0,-1
13,1,2
14,4,1
15,4,3
16,3,2
17,0,1
18,-2,-2
19,-4,-2
20,-2,-3
21,0,-1
22,-4,-3
23,-2,-3
24,-4,-6
25,-10,-9
26,-11,-9
27,-8,-8
28,-5,-8
29,-5,-8
30,-5,-5
31,0,-3
32,0,0
33,3,2
34,7,3
35,7,3
36,5,4
37,6,4
38,5,3
39,4,1
40,2,0
41,3,2
42,4,2
43,3,1
44,0,0
45,-1,-3
46,0,-2
47,1,-1
48,-1,-2
49,0,-2
50,-1,-2
51,-4,-2
52,-9,-3
53,-3,-2
54,-2,-3
55,-4,-2
56,-2,-2
57,-2,-2
58,-3,-2
59,-2,3
60,5,5
61,10,6
62,6,4
63,0,4
64,0,3
65,2,0
66,0,1
67,0,5
68,5,8
69,7,9
70,5,5
71,2,2
72,-1,-1
73,3,-2
74,3,1
75,-1,3
76,1,1
77,0,2
78,2,5
79,4,3
80,8,6
81,7,7
82,5,7
83,4,5
84,2,4
85,-1,3
86,1,2
87,2,0
88,-2,-2
89,-5,-5
90,-4,-5
91,-5,-6
92,-4,-5
93,-5,-4
94,-6,-6
95,-7,-7
96,-9,-6
97,-4,-4
98,-2,-3
99,-4,-5
100,-6,-4
101,-6,-3
102,-6,-1
103,-1,-2
104,2,1
105,2,1
106,2,1
107,2,0
108,1,1
109,0,-1
110,0,-3
111,-1,-4
112,-2,-5
113,0,0
114,1,1
115,2,4
116,4,5
117,2,3
118,2,1
119,2,0
120,1,1
121,1,1
122,2,-1
123,4,-1
124,2,0
125,-2,-2
126,-4,-4
127,-6,-7
128,-7,-8
129,-5,-8
130,-5,-8
131,-6,-5
132,-7,-6
133,-5,-5
134,-3,-3
135,-4,-3
136,-5,-3
137,-4,1
138,-2,2
139,1,5
140,3,6
141,4,7
142,8,9
143,5,7
144,6,7
145,8,5
146,4,4
147,2,2
148,2,2
149,1,4
150,-4,0
151,-4,-2
152,-5,-4
153,-4,-5
154,-6,-6
155,-6,-9
156,-5,-7
157,-8,-8
158,-8,-9
159,-9,-8
160,-10,-8
161,-8,-7
162,-8,-5
163,-5,-5
164,-4,-2
165,-2,-1
166,1,0
167,2,0
168,2,2
169,2,1
170,2,1
171,5,2
172,5,4
173,6,3
174,4,0
175,0,0
176,-3,2
177,0,-1
178,0,-1
179,-4,1
180,-2,2
181,0,3
182,-1,-1
183,2,1
184,1,5
185,1,2
186,2,0
187,2,-2
188,-1,-1
189,2,1
190,2,0
191,2,0
192,1,-2
193,-1,-1
194,-1,-1
195,3,0
196,1,0
197,2,2
198,4,3
199,1,1
200,-2,0
201,-2,-1
202,-2,-1
203,-3,-3
204,-3,-3
205,-1,-2
206,-2,-3
207,-1,-2
208,-1,-1
209,0,-4
210,-1,-2
211,-1,-4
212,-2,-3
213,0,-5
214,-3,-5
215,-4,-3
216,-4,-3
217,-5,-4
218,-3,-4
219,-2,-2
220,0,-2
221,0,-2
222,-1,0
223,1,3
224,4,3
225,5,2
226,3,3
227,3,4
228,6,2
229,5,2
230,6,2
231,3,0
232,0,-2
233,-4,-3
234,-5,-5
235,-4,-4
236,-5,-2
237,-2,-3
238,-3,-2
239,-2,-2
240,-3,-1
241,-3,-1
242,0,-1
243,2,1
244,4,2
245,8,5
246,7,8
247,4,6
248,7,7
249,5,6
250,5,5
251,4,5
252,2,5
253,3,2
254,2,0
255,-1,-5
256,-1,-3
257,-1,-3
258,0,-1
259,2,3
260,1,1
261,0,0
262,0,1
263,1,3
264,2,1
265,-2,-2
266,0,0
267,-2,-2
268,-3,-4
269,-7,-5
270,-8,-6
271,-4,-6
272,-2,-6
273,-4,-4
274,-3,-2
275,-4,-1
276,-4,-1
277,-5,-2
278,-3,0
279,-1,2
280,-2,3
281,1,-1
282,-2,-4
283,-4,-4
284,-2,-3
285,-1,-5
286,-1,-5
287,0,-3
288,-2,-1
289,2,0
290,3,0
291,3,4
292,4,7
293,6,8
294,7,5
295,5,4
296,2,2
297,3,3
298,5,1
299,2,-2
300,-2,-2
301,-3,-2
302,-2,-3
303,-1,-4
304,2,-3
305,1,-3
306,-3,-1
307,-2,-2
308,0,-1
309,-2,0
310,-2,-1
311,2,2
312,3,2
313,-2,1
314,-7,-4
315,-7,-6
316,-9,-9
317,-8,-11
318,-4,-8
319,-1,-3
320,1,1
321,2,2
322,5,0
323,3,1
324,3,2
325,3,3
326,0,3
327,0,0
328,-1,-1
329,-2,-1
330,-2,1
331,-1,0
332,0,-2
333,-4,-3
334,-5,-3
335,-7,-6
336,-5,-8
337,-3,-6
338,-4,-3
339,-6,-4
340,-4,-4
341,-3,-4
342,-4,-3
343,-2,-2
344,1,1
345,3,1
346,3,3
347,3,4
348,5,3
349,0,1
350,0,4
351,3,3
352,3,3
353,3,2
354,2,2
355,1,1
356,1,4
357,1,2
358,0,1
359,1,0
360,-1,0
361,-2,0
362,3,2
363,2,3
364,1,2
365,0,2
366,-2,2
367,-2,1
368,-2,0
369,-2,1
370,-2,0
371,-2,1
372,-1,1
373,-2,0
374,-2,0
375,-4,-2
376,-4,-2
377,-6,-7
378,-7,-7
379,-5,-5
380,-1,-1
381,-1,1
382,-4,0
383,-7,-2
384,-6,-7
385,-6,-7
386,-5,-5
387,-2,-4
388,0,0
389,1,1
390,3,1
391,0,0
392,0,-3
393,-1,-3
394,1,-2
395,1,0
396,1,0
397,1,2
398,2,4
399,3,3
400,4,3
401,3,3
402,5,2
403,4,5
