,R,L
0,0,2
1,-1,2
2,1,1
3,2,1
4,1,-1
5,-1,-1
6,1,0
7,-1,0
8,1,0
9,1,-1
10,1,0
11,2,0
12,2,0
13,-2,-2
14,-3,-3
15,-2,0
16,-2,-2
17,-2,-4
18,-2,-2
19,-7,-2
20,-9,-5
21,-9,-7
22,-3,-5
23,-4,-3
24,-5,-2
25,-3,-1
26,-7,-3
27,-6,-3
28,-2,-2
29,1,-1
30,2,-1
31,-1,1
32,-2,1
33,1,1
34,1,2
35,0,4
36,5,2
37,5,5
38,2,3
39,-1,3
40,1,2
41,3,2
42,2,2
43,2,3
44,-1,1
45,-3,2
46,0,1
47,2,0
48,4,0
49,5,2
50,4,4
51,3,3
52,2,1
53,0,1
54,0,1
55,2,2
56,5,3
57,4,3
58,0,2
59,-2,-1
60,-4,-4
61,-1,-4
62,0,-2
63,2,1
64,4,0
65,2,2
66,4,3
67,1,0
68,-3,-1
69,-2,-2
70,-3,-3
71,-2,-2
72,-1,-2
73,-2,-1
74,0,-1
75,0,-2
76,-1,-2
77,-4,-3
78,-3,-3
79,-4,-4
80,-3,-4
81,0,-1
82,-3,-2
83,-3,-3
84,-1,-2
85,-3,-2
86,-3,-3
87,-1,-1
88,1,2
89,0,1
90,0,3
91,0,2
92,0,1
93,0,1
94,1,2
95,1,1
96,1,0
97,2,3
98,4,3
99,-1,3
100,0,0
101,2,-1
102,0,0
103,-3,0
104,-3,-1
105,-1,0
106,0,0
107,-1,-1
108,-1,0
109,0,0
110,-2,1
111,-3,-2
112,-1,-2
113,-1,-3
114,-3,-1
115,-1,0
116,-2,-1
117,-2,0
118,-5,-4
119,-3,-3
120,-1,-3
121,-1,-1
122,0,-1
123,2,0
124,-1,2
125,0,0
126,0,-1
127,0,-1
128,1,-3
129,1,-2
130,-1,-1
131,-3,0
132,-1,-2
133,1,-4
134,-1,-3
135,-3,-4
136,-2,-5
137,-1,-5
138,0,-4
139,1,-3
140,1,-3
141,-1,-2
142,-2,-2
143,-1,-2
144,0,-1
145,0,-1
146,0,-2
147,-4,-4
148,-3,-1
149,-2,-2
150,1,-2
151,0,-1
152,-2,-2
153,-2,-3
154,-3,-2
155,-2,-2
156,-1,-2
157,0,0
158,0,0
159,0,-2
160,1,0
161,-1,0
162,-2,-2
163,-2,-2
164,0,-2
165,1,-1
166,1,0
167,0,0
168,0,1
169,0,0
170,1,-1
171,-1,-2
172,1,1
173,3,1
174,1,2
175,-1,4
176,-1,2
177,-1,1
178,-1,0
179,2,3
