,R,L
0,0,0
1,-1,-1
2,0,0
3,0,-1
4,0,0
5,509,509
6,509,510
7,509,509
8,509,508
9,509,509
10,508,508
11,508,508
12,507,507
13,508,508
14,506,506
15,508,508
16,505,505
17,509,509
18,502,504
19,512,510
20,498,501
21,515,512
22,492,497
23,521,516
24,485,491
25,529,522
26,473,482
27,543,531
28,452,469
29,575,552
30,396,431
31,696,633
32,-383,-83
33,-555,-226
34,112,122
35,-226,-48
36,-127,58
37,-152,7
38,7,118
39,-91,0
40,-36,166
41,-141,65
42,-99,10
43,-58,44
44,-64,60
45,-38,124
46,-93,37
47,-38,100
48,31,159
49,-18,169
50,-33,69
51,-104,43
52,-90,104
53,-28,104
54,-87,3
55,-56,95
56,-28,161
57,21,151
58,-17,100
59,-32,127
60,-28,120
61,-68,33
62,-121,63
63,-32,164
64,-36,51
65,-56,17
66,-49,184
67,-85,155
68,-80,-4
69,1,72
70,-102,141
71,-172,-25
72,-58,18
73,-96,113
74,-50,81
75,-12,108
76,-60,126
77,-97,58
78,-98,12
79,-45,74
80,-110,110
81,-146,-4
82,-32,76
83,-52,80
84,-72,80
85,-103,115
86,-50,76
87,-106,-23
88,-168,-7
89,-60,63
90,-48,72
91,-106,69
92,-74,52
93,-73,60
94,-115,63
95,-67,91
96,-73,30
97,-106,20
98,-45,107
99,-20,89
100,-69,84
101,-108,83
102,-30,65
103,-46,88
104,-96,83
105,-30,124
106,-67,41
107,-144,-7
108,-52,76
109,11,139
110,-92,75
111,-126,70
112,-25,101
113,-40,43
114,-84,57
115,-66,114
116,-117,28
117,-160,1
118,-51,86
119,-51,75
120,-89,25
121,-127,57
122,-87,36
123,-27,81
124,-128,54
125,-121,53
126,-59,51
127,-57,43
128,-98,74
129,-87,93
130,-41,66
131,-82,39
132,-133,85
133,-34,74
134,10,68
135,-113,68
136,-150,20
137,-16,145
138,-28,101
139,-81,24
140,-28,114
141,-15,113
142,-61,38
143,-66,24
144,-169,135
145,-84,43
146,59,51
147,-69,113
148,-145,87
149,45,102
150,-29,86
151,-163,19
152,-79,87
153,44,125
154,-84,40
155,-179,2
156,-36,113
157,20,108
158,-114,68
159,-95,57
160,-42,75
161,-96,51
162,-81,34
163,-90,35
164,-102,58
165,-84,92
166,-62,51
167,-85,38
168,-75,70
169,-75,91
170,-88,74
171,-91,-4
172,-118,27
173,-111,76
174,-50,60
175,-93,78
176,-24,92
177,-66,49
178,-79,50
179,-57,109
180,-85,49
181,-119,30
182,-52,67
183,-45,61
184,-73,74
185,-81,83
186,-52,61
187,-33,74
188,-103,74
189,-89,41
190,-45,52
191,-54,51
192,-115,33
193,-81,90
194,-57,118
195,-41,40
196,-62,34
197,-92,87
198,-60,81
199,-46,75
200,-92,68
201,-74,20
202,-57,80
203,-72,107
204,-60,73
205,-53,42
206,-80,78
207,-64,97
208,-74,17
209,-99,53
210,-87,122
211,-34,55
212,-69,17
213,-70,138
214,3,118
215,-55,32
216,-121,60
217,-66,88
218,-44,49
219,-100,60
220,-71,59
221,-9,77
222,-66,94
223,-104,72
224,-56,63
225,-56,86
226,-64,62
227,-62,17
228,-45,88
229,-71,96
230,-105,19
231,-103,49
232,-31,93
233,-49,56
234,-97,71
235,-86,51
236,-71,39
237,-73,60
238,-98,43
239,-91,51
240,-44,76
241,-67,83
242,-92,71
243,-49,44
244,-48,42
245,-156,19
246,-97,74
247,-52,72
248,-47,43
249,-62,81
250,-109,58
251,-89,19
252,-43,92
253,-78,73
254,-99,-3
255,-56,86
256,-33,139
257,-45,33
258,-57,60
259,-91,102
260,-48,54
261,-51,43
262,-63,97
263,-36,112
264,-46,78
265,-96,28
266,-76,55
267,-26,103
268,-48,49
269,-77,65
270,-119,87
271,-8,70
272,-9,76
273,-116,54
274,-89,70
275,-57,61
276,-82,36
277,-76,73
278,-17,97
279,-29,80
280,-103,48
281,-76,66
282,-57,63
283,-103,41
284,-60,60
285,-23,109
286,-67,64
287,-83,46
288,-84,63
289,-79,52
290,-78,45
291,-64,45
292,-75,66
293,-108,60
294,-78,51
295,-60,55
296,-58,56
297,-71,93
298,-106,37
299,-24,40
300,-33,85
301,-112,66
302,-65,51
303,-52,72
304,-93,55
305,-65,43
306,-38,86
307,-56,78
308,-84,41
309,-81,44
310,-49,84
311,-92,45
312,-99,37
313,-32,82
314,-46,62
315,-95,54
316,-48,62
317,-36,68
318,-106,83
319,-78,43
320,-19,56
321,-55,86
322,-109,49
323,-71,29
324,-37,73
325,-75,82
326,-82,53
327,-33,32
328,-63,87
329,-92,64
330,-67,30
331,-19,86
332,-101,75
333,-120,21
334,-40,36
335,-47,96
336,-100,47
337,-84,17
338,-26,85
339,-51,88
340,-92,58
341,-64,56
342,-48,40
343,-115,42
344,-82,65
345,-40,61
346,-63,38
347,-69,69
348,-54,88
349,-52,68
350,-71,54
351,-98,53
352,-52,56
353,-44,50
354,-104,51
355,-88,71
356,-6,74
357,-42,58
358,-100,77
359,-43,78
360,-36,71
361,-96,59
362,-38,61
363,-13,90
364,-72,66
365,-84,66
366,-52,53
367,-40,60
368,-74,59
369,-73,84
370,-30,85
371,-69,43
372,-107,57
373,-60,36
374,-29,69
375,-68,69
376,-99,50
377,-47,56
378,-51,55
379,-138,48
380,-95,26
381,-9,66
382,-50,67
383,-142,44
384,-90,31
385,-23,30
386,-102,49
387,-106,70
388,-15,60
389,-81,29
390,-129,53
391,-54,63
392,12,69
393,-56,77
394,-127,52
395,-68,26
396,-43,49
397,-90,66
398,-90,83
399,-4,74
400,-40,44
401,-111,63
402,-44,87
403,-42,26
404,-86,32
405,-56,112
406,-32,75
407,-28,67
408,-69,108
409,-78,53
410,-31,24
411,-34,75
412,-83,103
413,-77,60
414,-48,46
415,-45,80
416,-51,77
417,-68,45
418,-60,56
419,-52,116
420,-37,79
421,-39,17
422,-58,75
423,-103,79
424,-74,31
425,-4,68
426,-27,108
427,-106,46
428,-121,10
429,-40,59
430,-20,73
431,-62,69
432,-94,48
433,-58,50
434,-79,70
435,-68,30
436,-73,55
437,-52,93
438,-52,43
439,-70,31
440,-73,79
441,-63,60
442,-51,48
443,-72,60
444,-56,62
445,-58,72
446,-98,22
447,-67,42
448,-51,90
449,-52,63
450,-40,50
451,-93,59
452,-110,18
453,-74,24
454,-57,62
455,-49,77
456,-61,36
457,-85,49
458,-49,102
459,-31,44
460,-92,24
461,-86,79
462,-48,38
463,-68,16
464,-65,71
465,-68,108
466,-52,67
467,-19,40
468,-80,49
469,-76,49
470,-49,43
471,-59,62
472,-78,73
473,-50,55
474,-48,23
475,-86,60
476,-45,95
477,-47,61
478,-79,25
479,-63,61
480,-69,61
481,-36,47
482,-46,76
483,-85,77
484,-70,37
485,-48,41
486,-41,76
487,-75,75
488,-69,33
489,-57,29
490,-57,77
491,-77,67
492,-54,55
493,-44,54
494,-82,46
495,-79,59
496,-30,69
497,-38,66
498,-79,60
499,-77,42
500,-45,36
501,-71,68
502,-75,62
503,-49,43
504,-39,58
505,-81,63
506,-69,66
507,-29,37
508,-54,48
509,-92,83
510,-36,65
511,-28,61
512,-79,74
513,-71,61
514,-34,38
515,-55,42
516,-80,59
517,-62,78
518,-42,65
519,-62,45
520,-71,51
521,-39,65
522,-50,69
523,-84,37
524,-78,52
525,-23,55
526,-51,45
527,-95,62
528,-87,74
529,-30,47
530,-41,37
531,-92,48
532,-63,69
533,-34,47
534,-90,30
535,-87,56
536,-50,59
537,-62,44
538,-94,38
539,-68,49
540,-33,59
541,-54,27
542,-96,58
543,-62,82
544,-43,44
545,-43,43
546,-80,60
547,-51,66
