,R,L
454,-2,-2
455,0,0
456,-1,-3
457,1,-4
458,-2,-7
459,-2,-7
460,-2,-5
461,0,-7
462,-3,-5
463,-2,-8
464,-2,1
465,-4,-2
466,1,3
467,-1,3
468,1,4
469,-1,5
470,-2,3
471,-2,4
472,2,0
473,4,0
474,0,-3
475,0,-1
476,-2,-4
477,-6,-5
478,-2,-7
479,-4,-5
480,-3,-7
481,-4,-2
482,-2,-1
483,4,5
484,2,7
485,7,5
486,3,10
487,5,5
488,6,5
489,2,4
490,4,4
491,2,4
492,3,5
493,5,5
494,5,2
495,3,1
496,1,-1
497,0,-4
498,-3,-3
499,-4,-3
500,-3,-2
501,0,-2
502,0,-4
503,1,-7
504,-3,-7
505,-7,-4
506,-10,0
507,-5,3
508,-2,7
509,0,4
510,3,5
511,-3,2
512,-3,-2
513,-4,-3
514,-6,-7
515,-8,-8
516,-10,-9
517,-11,-6
518,-10,-4
519,-3,-3
520,-3,-2
521,-2,-2
522,0,-3
523,0,1
524,1,0
525,2,0
526,1,4
527,2,0
528,1,-1
529,-4,-2
530,-2,-4
531,-3,-1
532,-2,-3
533,1,-2
534,1,-6
535,-3,-7
536,-4,-8
537,-5,-7
538,-7,-7
539,-1,-3
540,-1,0
541,0,1
542,1,2
543,0,0
544,-1,2
545,0,4
546,1,7
547,6,8
548,7,10
549,8,8
550,8,5
551,5,2
552,1,1
553,-1,0
554,-1,0
555,-3,-2
556,0,-4
557,-1,-2
558,-1,-1
559,0,0
560,-1,2
561,1,3
562,0,0
563,0,-1
564,-1,0
565,-1,-2
566,-1,-1
567,-1,1
568,2,4
569,0,0
570,-1,-2
571,-4,-6
572,-6,-7
573,-6,-7
574,-6,-5
575,-4,-9
576,-2,-11
577,-9,-16
578,-7,-14
579,-16,-13
580,-7,-11
581,-11,-2
582,-3,-9
583,-1,3
584,-2,1
585,8,6
586,2,3
587,8,3
588,5,3
589,3,-3
590,5,3
591,1,0
592,7,-1
593,2,3
594,2,2
595,5,6
596,0,2
597,5,5
598,2,5
599,4,4
600,-1,7
601,3,8
602,9,3
603,4,2
604,4,2
605,3,-4
606,-2,0
607,-2,-1
608,0,-4
609,-5,3
610,-5,3
611,3,9
612,1,2
613,4,6
614,1,1
615,2,0
616,-4,-1
617,-1,-5
618,-6,-6
619,-10,-7
620,-10,-2
621,-8,-11
622,-6,-4
623,-8,-5
624,-1,-8
625,-6,-1
626,0,-1
