,R,L
462,130,87
463,130,101
464,165,131
465,205,167
466,206,184
467,148,163
468,55,110
469,-20,48
470,-33,8
471,21,3
472,103,28
473,164,65
474,171,95
475,126,107
476,54,96
477,-12,66
478,-50,28
479,-56,-3
480,-40,-18
481,-23,-14
482,-23,0
483,-45,9
484,-79,5
485,-104,-12
486,-104,-34
487,-79,-49
488,-41,-50
489,-9,-37
490,3,-19
491,-8,-10
492,-37,-19
493,-68,-46
494,-87,-78
495,-82,-94
496,-54,-83
497,-15,-50
498,13,-13
499,14,4
500,-10,-6
501,-40,-32
502,-48,-52
503,-22,-51
504,32,-28
505,85,0
506,104,15
507,73,6
508,2,-27
509,-72,-68
510,-111,-96
511,-92,-95
512,-34,-65
513,13,-24
514,3,-4
515,-72,-28
516,-166,-90
517,-206,-152
518,-147,-172
519,-19,-133
520,92,-57
521,99,1
522,-16,-2
523,-182,-66
524,-286,-151
525,-257,-200
526,-118,-180
527,30,-108
528,85,-31
529,11,2
530,-131,-23
531,-237,-79
532,-231,-120
533,-113,-111
534,35,-56
535,115,9
536,75,36
537,-58,4
538,-191,-69
539,-231,-134
540,-149,-147
541,4,-95
542,129,-8
543,146,62
544,51,74
545,-87,24
546,-174,-54
547,-157,-113
548,-57,-118
549,53,-71
550,96,-4
551,49,42
552,-53,40
553,-143,-5
554,-166,-64
555,-111,-99
556,-13,-86
557,72,-29
558,98,42
559,55,86
560,-30,78
561,-107,24
562,-132,-43
563,-93,-82
564,-15,-67
565,52,-12
566,62,43
567,7,57
568,-82,17
569,-149,-52
570,-149,-103
571,-80,-102
572,18,-47
573,86,25
574,83,67
575,15,53
576,-70,-3
577,-115,-58
578,-86,-75
579,3,-38
580,104,30
581,161,90
582,145,111
583,68,86
584,-22,36
585,-72,-7
586,-56,-17
587,10,3
588,78,35
589,102,55
590,67,49
591,3,28
592,-41,11
593,-33,13
594,19,35
595,76,61
596,96,70
597,65,55
598,4,24
599,-48,-5
600,-63,-18
601,-39,-10
602,7,9
603,51,29
604,68,41
605,47,40
606,-7,26
607,-69,1
608,-100,-29
609,-69,-45
610,19,-31
611,116,14
612,148,67
613,72,85
614,-89,39
615,-240,-60
616,-278,-155
617,-160,-182
618,48,-113
619,214,11
620,223,112
621,66,119
622,-153,32
623,-283,-87
624,-232,-152
625,-36,-119
626,174,-15
627,261,85
628,175,113
629,-18,59
630,-187,-31
631,-231,-92
632,-135,-86
633,28,-26
634,152,45
635,166,81
636,71,67
637,-73,17
638,-182,-43
639,-193,-83
640,-93,-84
641,71,-40
642,214,35
643,252,108
644,156,137
645,-17,102
646,-154,21
647,-155,-49
648,-5,-53
649,196,25
650,307,137
651,241,207
652,41,180
653,-154,70
654,-205,-50
655,-80,-99
656,127,-48
657,268,65
658,251,156
659,101,162
660,-73,83
661,-156,-23
662,-110,-83
663,12,-59
664,116,22
665,134,99
666,57,114
667,-63,57
668,-159,-37
669,-186,-112
670,-142,-132
671,-59,-94
672,16,-32
673,48,16
674,24,24
675,-41,-7
676,-109,-56
677,-144,-98
678,-129,-112
679,-77,-97
680,-28,-65
681,-19,-40
682,-57,-38
683,-115,-60
684,-145,-89
685,-115,-99
686,-33,-75
687,55,-24
688,99,25
689,77,46
690,11,30
691,-45,-7
692,-46,-32
693,12,-23
694,91,15
695,137,59
696,120,80
697,53,71
698,-15,47
699,-33,31
700,15,38
701,99,66
702,165,94
703,176,105
704,133,96
705,72,78
706,37,66
707,46,69
708,86,84
709,121,97
710,127,97
711,104,83
712,69,62
713,45,44
714,40,37
715,47,42
716,55,52
717,57,56
718,54,50
719,50,34
720,46,15
721,39,5
722,33,9
723,33,24
724,44,42
725,64,49
726,81,40
727,83,22
728,70,9
729,58,14
730,62,37
731,86,67
732,112,85
733,116,81
734,92,58
735,53,32
736,27,18
737,29,21
738,53,32
739,75,41
740,76,40
741,53,32
742,21,28
743,-4,29
744,-16,32
745,-16,25
746,-4,7
747,26,-9
748,75,-6
749,124,23
750,141,66
751,98,94
752,8,83
753,-76,38
754,-90,-12
755,-15,-31
756,101,-6
757,170,39
758,132,62
759,5,39
760,-116,-19
761,-135,-68
762,-28,-65
763,130,-8
764,222,63
765,174,92
766,16,53
767,-146,-31
768,-207,-101
769,-141,-113
770,-13,-64
771,78,0
772,69,26
773,-22,-6
774,-121,-73
775,-162,-126
776,-124,-131
777,-44,-90
778,28,-34
779,55,3
780,36,7
781,-13,-15
782,-70,-46
783,-117,-74
784,-141,-95
785,-131,-106
786,-88,-103
787,-35,-84
788,-3,-57
789,-12,-36
790,-53,-36
791,-90,-55
